url_length,host_length,path_length,num_dots,num_hyphens,num_digits,num_slashes,has_at_symbol,has_raw_ip,digit_ratio,label
66,29,37,2,4,21,1,0,0,0.318,1
56,19,37,2,4,20,1,0,0,0.357,1
36,15,21,1,1,0,3,0,0,0.0,0
51,11,40,1,2,0,5,0,0,0.0,0
46,11,35,1,2,0,3,0,0,0.0,0
28,13,15,4,0,11,2,0,1,0.393,1
79,25,54,4,3,2,5,0,0,0.025,1
135,25,110,4,8,5,8,0,0,0.037,1
28,11,17,1,0,0,2,0,0,0.0,0
18,13,5,1,0,0,1,0,0,0.0,0
107,25,82,4,6,5,5,0,0,0.047,1
25,18,7,4,0,14,1,0,0,0.56,1
22,15,7,1,0,0,2,0,0,0.0,0
14,6,8,1,1,0,1,0,0,0.0,0
25,9,16,1,0,0,2,0,0,0.0,0
20,18,2,3,0,14,1,0,0,0.7,1
25,13,12,4,0,10,1,0,1,0.4,1
101,25,76,4,0,5,8,0,0,0.05,1
55,7,48,2,2,0,3,0,0,0.0,0
19,11,8,1,0,0,1,0,0,0.0,0
79,10,69,1,7,0,3,0,0,0.0,0
58,13,45,4,0,11,2,0,1,0.19,1
39,12,27,1,1,0,3,0,0,0.0,0
108,25,83,4,0,5,5,0,0,0.046,1
28,15,13,2,0,0,1,0,0,0.0,1
47,6,41,2,2,0,3,0,0,0.0,0
38,12,26,2,0,0,3,0,0,0.0,0
27,7,20,1,0,0,2,0,0,0.0,0
40,11,29,1,0,5,2,0,0,0.125,0
42,11,31,1,0,6,2,0,0,0.143,0
67,23,44,2,4,26,1,0,0,0.388,1
65,11,54,3,2,7,4,0,0,0.108,0
20,11,9,3,0,8,2,0,1,0.4,1
40,11,29,1,0,0,3,0,0,0.0,0
19,12,7,3,0,12,1,0,1,0.632,1
18,11,7,3,0,10,1,0,1,0.556,1
37,10,27,1,1,0,2,0,0,0.0,0
26,11,15,1,0,0,2,0,0,0.0,0
39,12,27,1,0,0,2,0,0,0.0,0
65,11,54,3,2,9,4,0,0,0.138,0
55,49,6,3,2,3,1,0,0,0.055,1
21,19,2,3,0,15,1,0,0,0.714,1
36,9,27,1,0,0,4,0,0,0.0,0
45,16,29,1,2,0,3,0,0,0.0,0
32,10,22,1,1,0,3,0,0,0.0,0
48,11,37,2,1,5,4,0,0,0.104,0
20,12,8,3,0,12,2,0,1,0.6,1
100,25,75,4,0,4,5,0,0,0.04,1
24,17,7,4,0,13,1,0,0,0.542,1
52,7,45,2,2,0,3,0,0,0.0,0
66,29,37,2,4,18,1,0,0,0.273,1
15,12,3,3,0,9,1,0,1,0.6,1
20,7,13,1,0,5,4,0,0,0.25,0
57,20,37,2,4,20,1,0,0,0.351,1
18,15,3,1,0,0,1,0,0,0.0,0
31,11,20,1,1,0,4,0,0,0.0,0
24,12,12,1,0,0,2,0,0,0.0,0
22,20,2,3,0,16,1,0,0,0.727,1
35,14,21,4,0,25,2,0,1,0.714,1
26,19,7,4,0,15,1,0,0,0.577,1
40,10,30,1,1,0,3,0,0,0.0,0
57,14,43,1,2,0,4,0,0,0.0,0
39,15,24,1,0,0,3,0,0,0.0,0
50,12,38,2,0,13,4,0,0,0.26,0
23,11,12,1,0,0,2,0,0,0.0,0
